"Character","UCS","Name","Ar","Fa"
"ء","U+0621","ARABIC LETTER HAMZA","✓","✓"
"آ","U+0622","ARABIC LETTER ALEF WITH MADDA ABOVE","✓","✓"
"أ","U+0623","ARABIC LETTER ALEF WITH HAMZA ABOVE","✓","✓"
"ؤ","U+0624","ARABIC LETTER WAW WITH HAMZA ABOVE","✓","✓"
"إ","U+0625","ARABIC LETTER ALEF WITH HAMZA BELOW","✓","✲"
"ئ","U+0626","ARABIC LETTER YEH WITH HAMZA ABOVE","✓","✓"
"ا","U+0627","ARABIC LETTER ALEF","✓","✓"
"ب","U+0628","ARABIC LETTER BEH","✓","✓"
"ة","U+0629","ARABIC LETTER TEH MARBUTA","✓","✓"
"ت","U+062A","ARABIC LETTER TEH","✓","✓"
"ث","U+062B","ARABIC LETTER THEH","✓","✓"
"ج","U+062C","ARABIC LETTER JEEM","✓","✓"
"ح","U+062D","ARABIC LETTER HAH","✓","✓"
"خ","U+062E","ARABIC LETTER KHAH","✓","✓"
"د","U+062F","ARABIC LETTER DAL","✓","✓"
"ذ","U+0630","ARABIC LETTER THAL","✓","✓"
"ر","U+0631","ARABIC LETTER REH","✓","✓"
"ز","U+0632","ARABIC LETTER ZAIN","✓","✓"
"س","U+0633","ARABIC LETTER SEEN","✓","✓"
"ش","U+0634","ARABIC LETTER SHEEN","✓","✓"
"ص","U+0635","ARABIC LETTER SAD","✓","✓"
"ض","U+0636","ARABIC LETTER DAD","✓","✓"
"ط","U+0637","ARABIC LETTER TAH","✓","✓"
"ظ","U+0638","ARABIC LETTER ZAH","✓","✓"
"ع","U+0639","ARABIC LETTER AIN","✓","✓"
"غ","U+063A","ARABIC LETTER GHAIN","✓","✓"
"ف","U+0641","ARABIC LETTER FEH","✓","✓"
"ق","U+0642","ARABIC LETTER QAF","✓","✓"
"ك","U+0643","ARABIC LETTER KAF","✓","✲"
"ل","U+0644","ARABIC LETTER LAM","✓","✓"
"م","U+0645","ARABIC LETTER MEEM","✓","✓"
"ن","U+0646","ARABIC LETTER NOON","✓","✓"
"ه","U+0647","ARABIC LETTER HEH","✓","✓"
"و","U+0648","ARABIC LETTER WAW","✓","✓"
"ى","U+0649","ARABIC LETTER ALEF MAKSURA","✓","✲"
"ي","U+064A","ARABIC LETTER YEH","✓","✲"
"ٯ","U+066F","ARABIC LETTER DOTLESS QAF","✲","✕"
"ٱ","U+0671","ARABIC LETTER ALEF WASLA","✕","✲"
"پ","U+067E","ARABIC LETTER PEH","✲","✓"
"چ","U+0686","ARABIC LETTER TCHEH","✲","✓"
"ژ","U+0698","ARABIC LETTER JEH","✲","✓"
"ڜ","U+069C","ARABIC LETTER SEEN WITH THREE DOTS BELOW AND THREE DOTS ABOVE","✲","✕"
"ڢ","U+06A2","ARABIC LETTER FEH WITH DOT MOVED BELOW","✲","✕"
"ڤ","U+06A4","ARABIC LETTER VEH","✲","✕"
"ڥ","U+06A5","ARABIC LETTER FEH WITH THREE DOTS BELOW","✲","✕"
"ڧ","U+06A7","ARABIC LETTER QAF WITH DOT ABOVE","✲","✕"
"ڨ","U+06A8","ARABIC LETTER QAF WITH THREE DOTS ABOVE","✲","✕"
"ک","U+06A9","ARABIC LETTER KEHEH","✲","✓"
"گ","U+06AF","ARABIC LETTER GAF","✲","✓"
"ی","U+06CC","ARABIC LETTER FARSI YEH","✲","✓"
