"Character","UCS","Name","Ar","Fa"
"‌","U+200C","ZERO WIDTH NON-JOINER","","•"
"‍","U+200D","ZERO WIDTH JOINER","","•"
"‎","U+200E","LEFT-TO-RIGHT MARK","◦","◦"
"‏","U+200F","RIGHT-TO-LEFT MARK","◦","◦"
" ","U+2028","LINE SEPARATOR","","◦"
" ","U+2029","PARAGRAPH SEPARATOR","","◦"
"‪","U+202A","LEFT-TO-RIGHT EMBEDDING","","◦"
"‫","U+202B","RIGHT-TO-LEFT EMBEDDING","","◦"
"‬","U+202C","POP DIRECTIONAL FORMATTING","","◦"
"‭","U+202D","LEFT-TO-RIGHT OVERRIDE","","◦"
"‮","U+202E","RIGHT-TO-LEFT OVERRIDE","","◦"
"﻿","U+FEFF","ZERO WIDTH NO-BREAK SPACE","","•"
