"Character","UCS","Name","Ar","Fa"
"ً","U+064B","ARABIC FATHATAN","✓","✓"
"ٌ","U+064C","ARABIC DAMMATAN","✓","✓"
"ٍ","U+064D","ARABIC KASRATAN","✓","✓"
"َ","U+064E","ARABIC FATHA","✓","✲"
"ُ","U+064F","ARABIC DAMMA","✓","✲"
"ِ","U+0650","ARABIC KASRA","✓","✲"
"ّ","U+0651","ARABIC SHADDA","✓","✓"
"ْ","U+0652","ARABIC SUKUN","✓","✲"
"ٓ","U+0653","ARABIC MADDAH ABOVE","✕","✲"
"ٔ","U+0654","ARABIC HAMZA ABOVE","✕","✓"
"ٕ","U+0655","ARABIC HAMZA BELOW","✕","✲"
"ٰ","U+0670","ARABIC LETTER SUPERSCRIPT ALEF","✕","✓"
