"Character","UCS","Name","Ar","Fa"
"٠","U+0660","ARABIC-INDIC DIGIT ZERO","✓","✕"
"١","U+0661","ARABIC-INDIC DIGIT ONE","✓","✕"
"٢","U+0662","ARABIC-INDIC DIGIT TWO","✓","✕"
"٣","U+0663","ARABIC-INDIC DIGIT THREE","✓","✕"
"٤","U+0664","ARABIC-INDIC DIGIT FOUR","✓","✕"
"٥","U+0665","ARABIC-INDIC DIGIT FIVE","✓","✕"
"٦","U+0666","ARABIC-INDIC DIGIT SIX","✓","✕"
"٧","U+0667","ARABIC-INDIC DIGIT SEVEN","✓","✕"
"٨","U+0668","ARABIC-INDIC DIGIT EIGHT","✓","✕"
"٩","U+0669","ARABIC-INDIC DIGIT NINE","✓","✕"
"۰","U+06F0","EXTENDED ARABIC-INDIC DIGIT ZERO","✕","✓"
"۱","U+06F1","EXTENDED ARABIC-INDIC DIGIT ONE","✕","✓"
"۲","U+06F2","EXTENDED ARABIC-INDIC DIGIT TWO","✕","✓"
"۳","U+06F3","EXTENDED ARABIC-INDIC DIGIT THREE","✕","✓"
"۴","U+06F4","EXTENDED ARABIC-INDIC DIGIT FOUR","✕","✓"
"۵","U+06F5","EXTENDED ARABIC-INDIC DIGIT FIVE","✕","✓"
"۶","U+06F6","EXTENDED ARABIC-INDIC DIGIT SIX","✕","✓"
"۷","U+06F7","EXTENDED ARABIC-INDIC DIGIT SEVEN","✕","✓"
"۸","U+06F8","EXTENDED ARABIC-INDIC DIGIT EIGHT","✕","✓"
"۹","U+06F9","EXTENDED ARABIC-INDIC DIGIT NINE","✕","✓"
