"Character","UCS","Name","Ar","Fa"
"«","U+00AB","LEFT-POINTING DOUBLE ANGLE QUOTATION MARK","✕","✓"
"»","U+00BB","RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK","✕","✓"
"×","U+00D7","MULTIPLICATION SIGN","✓","✓"
"÷","U+00F7","DIVISION SIGN","✕","✲"
"،","U+060C","ARABIC COMMA","✓","✓"
"؛","U+061B","ARABIC SEMICOLON","✓","✓"
"؟","U+061F","ARABIC QUESTION MARK","✓","✓"
"ـ","U+0640","ARABIC TATWEEL","✕","✓"
"٪","U+066A","ARABIC PERCENT SIGN","✓","✓"
"٫","U+066B","ARABIC DECIMAL SEPARATOR","✓","✓"
"٬","U+066C","ARABIC THOUSANDS SEPARATOR","✓","✓"
"‐","U+2010","HYPHEN","✓","✓"
"–","U+2013","EN DASH","✓","✕"
"—","U+2014","EM DASH","✓","✕"
"…","U+2026","HORIZONTAL ELLIPSIS","✕","✓"
"‹","U+2039","SINGLE LEFT-POINTING ANGLE QUOTATION MARK","✕","✓"
"›","U+203A","SINGLE RIGHT-POINTING ANGLE QUOTATION MARK","✕","✓"
"−","U+2212","MINUS SIGN","✕","✓"
"∞","U+221E","INFINITY","✓","✓"
